"yards_to_go","score_diff","time_remaining","go_wp_change","fg_wp_change","wp_diff","go_expected_pts","fg_expected_pts","ep_diff","wp_recommendation","ep_recommendation","same_recommendation"
3,-7,5,-0.00422804091903595,-0.0329611459756582,0.0287331050566223,2.224,2.48,-0.256000000000001,"Go for it","Kick field goal",FALSE
4,-7,5,-0.0233212055882856,-0.0331346845671641,0.00981347897887846,1.934,2.476,-0.541999999999999,"Go for it","Kick field goal",FALSE
5,-7,5,-0.0295880193603783,-0.0331346845671641,0.00354666520678573,1.835,2.476,-0.641000000000001,"Go for it","Kick field goal",FALSE
6,-7,5,-0.0328989343309213,-0.0353906862567397,0.00249175192581844,1.757,2.424,-0.667,"Go for it","Kick field goal",FALSE
7,-7,5,-0.0350439181619281,-0.0369525335802921,0.00190861541836396,1.769,2.388,-0.619000000000003,"Go for it","Kick field goal",FALSE
2,-3,5,0.133749574736362,0.136410947849147,-0.00266137311278514,2.608,2.536,0.0719999999999996,"Kick field goal","Go for it",FALSE
2,0,5,0.172783763729857,0.217346708442941,-0.0445629447130848,2.579,2.512,0.0670000000000002,"Kick field goal","Go for it",FALSE
1,7,5,0.171275572411266,0.177862833136785,-0.00658726072551896,4.394,2.644,1.75,"Kick field goal","Go for it",FALSE
2,7,5,0.164967152598045,0.175199927400734,-0.0102327748026888,2.667,2.488,0.178999999999998,"Kick field goal","Go for it",FALSE
2,-7,15,0.113762040081729,0.0833019291901055,0.0304601108916234,2.485,2.508,-0.0230000000000001,"Go for it","Kick field goal",FALSE
3,-7,15,0.101248904294006,0.0856371390546015,0.0156117652394045,2.197,2.584,-0.387000000000001,"Go for it","Kick field goal",FALSE
4,-7,15,0.0895625381586422,0.0803521904139,0.00921034774474222,1.952,2.412,-0.459999999999999,"Go for it","Kick field goal",FALSE
6,-7,15,0.087658312279192,0.0814583424549771,0.00619996982421495,1.896,2.448,-0.552,"Go for it","Kick field goal",FALSE
7,-7,15,0.0938005971798761,0.082687400278396,0.0111131969014801,2.035,2.488,-0.452999999999999,"Go for it","Kick field goal",FALSE
2,-3,15,0.151801033093859,0.152734018273856,-0.000932985179997736,2.688,2.604,0.0839999999999992,"Kick field goal","Go for it",FALSE
2,0,15,0.117344873994832,0.14778790388494,-0.0304430298901086,2.629,2.56,0.0690000000000008,"Kick field goal","Go for it",FALSE
2,3,15,0.0807445391739028,0.0948881524253476,-0.0141436132514449,2.805,2.544,0.260999999999999,"Kick field goal","Go for it",FALSE
2,7,15,0.0460683829799561,0.0521996456691646,-0.00613126268920849,2.83,2.484,0.346000000000002,"Kick field goal","Go for it",FALSE
3,-7,30,0.0924906428649481,0.0833019291901054,0.00918871367484264,2.005,2.508,-0.503000000000001,"Go for it","Kick field goal",FALSE
4,-7,30,0.0906439264872156,0.0826874002783959,0.0079565262088197,1.972,2.488,-0.516000000000001,"Go for it","Kick field goal",FALSE
7,-7,30,0.0817942386636158,0.0809667193256094,0.000827519338006344,1.776,2.432,-0.656,"Go for it","Kick field goal",FALSE
2,-3,30,0.145313088602617,0.147510635737949,-0.00219754713533205,2.576,2.508,0.0680000000000032,"Kick field goal","Go for it",FALSE
2,3,30,0.0760976066891366,0.0953788090964451,-0.0192812024073086,2.652,2.556,0.0959999999999996,"Kick field goal","Go for it",FALSE
2,7,30,0.043200851557291,0.0535850592384284,-0.0103842076811373,2.669,2.544,0.125000000000002,"Kick field goal","Go for it",FALSE
2,-7,60,0.108377219027239,0.0825644944960541,0.0258127245311852,2.345,2.484,-0.138999999999998,"Go for it","Kick field goal",FALSE
3,-7,60,0.0959673059385051,0.0836706465371311,0.012296659401374,2.082,2.52,-0.438,"Go for it","Kick field goal",FALSE
4,-7,60,0.084680562274133,0.0839164581018149,0.000764104172318036,1.834,2.528,-0.694000000000001,"Go for it","Kick field goal",FALSE
7,-7,60,0.0813828198881774,0.0812125308902932,0.000170288997884127,1.758,2.44,-0.682,"Go for it","Kick field goal",FALSE
2,3,60,0.0824680499116558,0.0947246002016484,-0.0122565502899926,2.837,2.54,0.296999999999997,"Kick field goal","Go for it",FALSE
